show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
S39,Tv Show,แผนร้ายนายเจ้าเล่ห์,Unknown,"Chutavuth Pattarakampol, Sheranut Yusananda, Nichaphat Chatchaipholrat, Thassapak Hsu",Unknown,30-03-2019,2016,1,"When Two Brothers Fall For Two Sisters, They Quickly Realize The Age Differences Between Them Are Too Big To Ignore.",International Tv
S40,Movie,"¡Ay, Mi Madre!",Frank Ariza,"Estefanía De Los Santos, Secun De La Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",Spain,19-07-2019,2019,81,"When Her Estranged Mother Suddenly Dies, A Woman Must Follow The Quirky Instructions Laid Out In The Will In Order To Collect An Important Inheritance.",Comedies
S41,Movie,Çarsi Pazar,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",Turkey,10-03-2017,2015,97,The Slacker Owner Of A Public Bath House Rallies His Community To Save It When A Big Developer Comes To Town To Close It Down And Open A New Mall.,Comedies
S42,Movie,Ég Man Þig,Óskar Thór Axelsson,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",Iceland,27-03-2018,2017,106,"Young Urbanites Renovating A Rundown House, And A Psychiatrist Grieving His Son'S Disappearance, Are Connected To A Supernatural, Decades-Old Secret.",Horror Movies
S43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"Ayça Erturan, Aydan Taş, Ayşegül Akdemir, Burcu Gönder, Bülent Emrah Parlak, Büşra Pekin, Emre Canpolat, Ersin Korkut, Eser Yenenler, Gizem Tuğral, Gülhan Tekin, Gülsüm Alkan, Hamdi Kahraman, İbrahim Büyükak, Metin Keçeci",Turkey,10-03-2017,2010,99,"Vignettes Of The Summer Holidays Follow Vacationers As They Battle Mosquitoes, Suffer Ruined Plans And Otherwise Hit Snags In Their Precious Time Off.",Comedies
S44,Movie,Òlòtūré,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,02-10-2020,2020,107,"In Lagos, A Journalist Goes Undercover As A Prostitute To Expose Human Trafficking. What She Finds Is A World Of Exploited Women And Ruthless Violence.",Dramas
S45,Movie,Æon Flux,Karyn Kusama,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances Mcdormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",United States,01-02-2018,2005,93,"Aiming To Hasten An Uprising, The Leader Of An Underground Rebellion Dispatches Acrobatic Assassin Aeon Flux To Eliminate The Government'S Top Leader.",Action
S46,Tv Show,Şubat,Unknown,"Alican Yücesoy, Melisa Sözen, Musa Uzunlar, Serkan Ercan, Özkan Uğur, Ülkü Duru, Tansu Biçer, Nadir Sarıbacak, Sermet Yeşil, Ayhan Kavas",Turkey,17-01-2017,2013,1,"An Orphan Subjected To Tests That Gave Him Superpowers Is Rescued And Raised On Istanbul'S Streets, Where He Falls For A Reporter Linked To His Past.",Crime Tv
S47,Movie,1 Chance 2 Dance,Adam Deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean Mcbride",United States,01-07-2017,2014,89,"When An Aspiring Dancer Is Uprooted During Her Senior Year Of High School, She Finds Herself Torn Between Two Boys – And With One Shot At Her Dream.",Dramas
S48,Movie,1 Mile To You,Leif Tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",United States,07-07-2017,2017,105,"After Escaping The Bus Accident That Killed His Girlfriend, A High School Student Channels His Grief Into Running, With The Help Of A New Coach.",Dramas
S49,Movie,10 Days In Sun City,Adze Ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.",South Africa,18-10-2019,2017,87,"After His Girlfriend Wins The Miss Nigeria Pageant, A Young Man Faces Unexpected Competition Of His Own When He Joins Her On A Campaign In South Africa.",Comedies
S50,Movie,10 Jours En Or,Nicolas Brossette,"Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",France,01-07-2017,2012,97,"When A Carefree Bachelor Is Unexpectedly Left In Charge Of A Young Boy, The Two Embark On A Road Trip That Will Change Both Of Their Lives.",Comedies
S51,Movie,"10,000 B.C.",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif",United States,01-06-2019,2008,109,Fierce Mammoth Hunter D'Leh Sets Out On An Impossible Journey To Rescue The Woman He Loves From A Vicious Warlord And Save The People Of His Village.,Action
S52,Tv Show,100 Days My Prince,Unknown,"Doh Kyung-Soo, Nam Ji-Hyun, Cho Seong-Ha, Cho Han-Cheul, Kim Seon-Ho, Han So-Hee",South Korea,07-12-2020,2018,1,"Upon Losing His Memory, A Crown Prince Encounters A Commoner’S Life And Experiences Unforgettable Love As The Husband To Joseon’S Oldest Bachelorette.",International Tv
S53,Movie,100 Days Of Solitude,Unknown,Not Available,Spain,06-07-2018,2018,93,"Spanish Photographer José Díaz Spends 100 Days Living Alone On A Remote Mountain, Connecting To Nature And Documenting The Beauty Of His Surroundings.",Documentaries
S54,Tv Show,100 Humans,Unknown,"Zainab Johnson, Sammy Obeid, Alie Ward",United States,13-03-2020,2020,1,"One Hundred Hardy Souls From Diverse Backgrounds Participate In Playful Experiments Exploring Age, Sex, Happiness And Other Aspects Of Being Human.",Docuseries
S55,Movie,100 Meters,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer",Portugal,10-03-2017,2016,109,"A Man Who Is Diagnosed With Multiple Sclerosis Responds By Training For An Ironman Triathlon, With His Cranky Father-In-Law'S Help.",Dramas
S56,Movie,100 Things To Do Before High School,Unknown,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",United States,02-11-2019,2014,44,"Led By Seventh-Grader C.J., Three Students Who Have Been Warned About The Dangers Of High School Decide To Make The Best Of Their Middle-School Years.",Uncategorized
S57,Movie,100 Years: One Woman'S Fight For Justice,Melinda Janko,Not Available,United States,20-03-2018,2016,75,This Documentary Chronicles Elouise Cobell'S Long Fight Against The U.S. Government For The Gross Mismanagement Of Mineral-Rich Native American Land.,Documentaries
S58,Movie,100% Halal,Jastis Arimba,"Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Indonesia,07-01-2021,2020,101,"After High School, A Young Woman Marries The Man Of Her Father'S Choice But Soon Faces The Possibility That Her Religion Considers The Union Invalid.",Dramas
S59,Tv Show,100% Hotter,Unknown,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",United Kingdom,01-11-2019,2017,1,"A Stylist, A Hair Designer And A Makeup Artist Team Up To Give Britain'S Biggest Fashion Disasters Some Much-Needed Makeunders.",British Tv
S60,Movie,1000 Rupee Note,Shrihari Sathe,"Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",India,01-12-2016,2014,89,"After Randomly Receiving A Handsome Political Bribe, A Sweet, Poor Elderly Woman Decides To Treat Herself A Shopping Spree, Which Doesn'T Go Smoothly.",Dramas
S61,Movie,12 Round Gun,Sam Upton,"Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",United States,14-03-2019,2017,90,"Dealing With Personal Demons And The Death Of His Son, A Prizefighter Attempts A Return To The Ring By Challenging His Rival To A 12-Round Rematch.",Dramas
S62,Tv Show,12 Years Promise,Unknown,"So-Yeon Lee, Namkoong Min, Tae-Im Lee, So-Hui Yoon, Won-Keun Lee, Hyo-Young Ryu",South Korea,22-05-2017,2014,1,"A Pregnant Teen Is Forced By Her Family To Leave Her Boyfriend And Assume A New Identity In America, But 12 Years Later, The Couple Reunites In Korea.",International Tv
S63,Movie,13 Cameras,Victor Zarcoff,"Pj Mccabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,13-08-2016,2015,90,"Young Parents-To-Be Claire And Ryan Move Into A Suburban Rental Home, Unaware That Someone Is Secretly Watching Their Every Move Via Hidden Cameras.",Horror Movies
S64,Tv Show,13 Reasons Why,Unknown,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian D'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",United States,05-06-2020,2020,4,"After A Teenage Girl'S Perplexing Suicide, A Classmate Receives A Series Of Tapes That Unravel The Mystery Of Her Tragic Choice.",Crime Tv
S65,Tv Show,13 Reasons Why: Beyond The Reasons,Unknown,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom Mccarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",United States,23-08-2019,2019,3,"Cast Members, Writers, Producers And Mental Health Professionals Discuss Some Of The Difficult Issues And Themes Explored In ""13 Reasons Why.""",Crime Tv
S66,Movie,13 Sins,Daniel Stamm,"Mark Webber, Rutina Wesley, Devon Graye, Tom Bower, Ron Perlman, Pruitt Taylor Vince",United States,13-01-2019,2014,93,"A Man Agrees To Appear On A Game Show With A $6 Million Prize. But As The Challenges Become More Extreme, He Realizes He'S Made A Grave Mistake.",Horror Movies
S67,Movie,13Th,Ava Duvernay,Not Available,United States,07-10-2016,2016,101,"In This Thought-Provoking Documentary, Scholars, Activists And Politicians Analyze The Criminalization Of African Americans And The U.S. Prison Boom.",Documentaries
S68,Movie,13Th: A Conversation With Oprah Winfrey & Ava Duvernay,Unknown,"Oprah Winfrey, Ava Duvernay",Unknown,26-01-2017,2017,37,"Oprah Winfrey Sits Down With Director Ava Duvernay To Discuss Her Oscar-Nominated Film, Historical Cycles Of Oppression And The Broken Prison System.",Uncategorized
S69,Movie,14 Blades,Daniel Lee,"Donnie Yen, Zhao Wei, Wu Chun, Law Kar-Ying, Kate Tsui, Yuwu Qi, Wu Ma, Chen Kuan Tai, Sammo Kam-Bo Hung, Chen Zhi Hui, Damian Lau, Xiang Dong Xu",Hong Kong,03-04-2019,2010,113,"In The Age Of The Ming Dynasty, Quinglong Is The Best Of The Jinyiwei, An Elite Assassin Squad Made Up Of Highly Trained Former Street Urchins. When Evil Eunuch Jia Unseats The Emperor, Quinglong Is Called To Action But Is Quickly Betrayed.",Action
S70,Movie,14 Cameras,"Scott Hussion, Seth Fuller","Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",United States,27-10-2018,2018,89,"Upping The “13 Cameras” Ante, This Sequel Finds A Family Renting A Vacation House That’S Been Customized To Violate Their Privacy.",Horror Movies
S71,Movie,14 Minutes From Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",Not Available,United States,01-02-2019,2016,84,A Google Executive Boldly Attempts A Death-Defying Mission To Travel To Space And Free-Fall Back To Earth Without A Rocket.,Documentaries
S72,Movie,16 Blocks,Richard Donner,"Bruce Willis, Mos Def, David Morse, Jenna Stern, Cylk Cozart, Casey Sander, David Zayas, Robert Racki, Patrick Garrow, Sasha Roiz",United States,01-11-2019,2006,102,"Tasked With Escorting A Prosecution Witness To Court, An Aging Cop Gears Up For The 16-Block Trek – But They'Ll Be Lucky To Make It There Alive.",Action
S73,Movie,17 Again,Burr Steers,"Zac Efron, Leslie Mann, Matthew Perry, Thomas Lennon, Michelle Trachtenberg, Melora Hardin, Sterling Knight, Hunter Parrish, Nicole Sullivan, Allison Miller",United States,01-01-2021,2009,102,"Nearing A Midlife Crisis, Thirty-Something Mike Wishes For A ""Do-Over"" – And That'S Exactly What He Gets When He Wakes Up To Find He'S 17 Again.",Comedies
S74,Movie,18 Presents,Francesco Amato,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi, Alessandro Giallocosta, Filippo Gili, Giacomo Rosselli",Italy,08-05-2020,2020,114,A Pregnant Mother With Terminal Cancer Leaves Behind 18 Sentimental Gifts For Her Unborn Daughter To Receive Every Birthday Until She Reaches Womanhood.,Dramas
S75,Movie,1898: Our Last Men In The Philippines,Salvador Calvo,"Luis Tosar, Javier Gutiérrez, Álvaro Cervantes, Karra Elejalde, Carlos Hipólito, Ricardo Gómez, Patrick Criado, Eduard Fernández, Miguel Herrán, Emilio Palacios",Spain,02-06-2017,2016,130,"While Spain Relinquishes Its Last Colonies, A Battle-Fatigued Outpost Engages In A Long, Brutal And Sometimes Bizarre Clash With Filipino Insurgents.",Dramas
S76,Movie,1Br,David Marmor,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",United States,23-08-2020,2019,90,"Seeking Her Independence, A Young Woman Moves To Los Angeles And Settles Into A Cozy Apartment Complex With A Disturbing Sense Of Community.",Horror Movies
